1,"Energy"
"1A","Fuel Combustion Activities"
"1A1","Energy Industries"
"1A1A","Main Activity Electricity and Heat Production"
"1A1AI","Electricity Generation"
"1A1AII","Combined Heat and Power Generation (CHP)"
"1A1AIII","Heat Plants"
"1A1B","Petroleum Refining"
"1A1C","Manufacture of Solid Fuels and Other Energy Industries"
"1A1CI","Manufacture of Solid Fuels"
"1A1CII","Other Energy Industries"
"1A2","Manufacturing Industries and Construction"
"1A2A","Iron and Steel"
"1A2B","Non-Ferrous Metals"
"1A2C","Chemicals"
"1A2D","Pulp, Paper and Print"
"1A2E","Food Processing, Beverages and Tobacco"
"1A2F","Non-Metallic Minerals"
"1A2G","Transport Equipment"
"1A2H","Machinery"
"1A2I","Mining (excluding fuels) and Quarrying"
"1A2J","Wood and Wood Products"
"1A2K","Construction"
"1A2L","Textile and Leather"
"1A2M","Non-specified Industry:"
"1A3","Transport Equipment"
"1A3A","Civil Aviation"
"1A3AI","International Aviation (International Bunkers)"
"1A3AII","Domestic Aviaton"
"1A3B","Road Transportation"
"1A3BI","Cars"
"1A3BI1","Passenger Cars With 3-way Catalysts"
"1A3BI2","Passenger Cars Without 3-way Catalysts"
"1A3BII","Light-duty Trucks"
"1A3BII1","Light-duty Trucks With 3-way Catalysts"
"1A3BII2","Light-duty Trucks Without 3-way Catalysts"
"1A3BIII","Heavy-duty Trucks and Buses"
"1A3BIV","Motorcycles"
"1A3BV","Evaporative Emissions from Vehicles"
"1A3BVI","Urea-based Catalysts"
"1A3C","Railways"
"1A3D","Water-borne Navigation"
"1A3DI","International Water-borne Navigation (International Bunkers)"
"1A3DII","Domestic Water-borne Navigation"
"1A3E","Other Transportation"
"1A3EI","Pipeline Transport"
"1A3EII","Off-road"
"1A4","Other Sectors"
"1A4A","Commercial/Institutional"
"1A4B","Residential"
"1A4C","Agriculture/Forestry/Fishing/Fish Farms"
"1A4CI","Stationary"
"1A4CII","Off-road Vehicles and Other Machinery"
"1A4CIII","Fishing (mobile combustion)"
"1A5","Non-Specified"
"1A5A","Stationary"
"1A5B","Mobile"
"1A5BI","Mobile (Aviation Component)"
"1A5BII","Mobile (Water-borne Component)"
"1A5BIII","Mobile (Other)"
"1A5C","Multilateral Operations"
"1B","Fugitive Emissions from Fuels"
"1B1","Solid Fuels"
"1B1A","Coal Mining and Handling"
"1B1AI","Underground Mines"
"1B1AI1","Mining"
"1B1AI2","Post-mining Seam Gas Emissions"
"1B1AI3","Abandoned Underground Mines"
"1B1AI4","Flaring of Drained Methane or Conversion of Methane to CO 2"
"1B1AII","Surface Mines"
"1B1AII1","Mining"
"1B1AII2","Post-mining Seam Gas Emissions"
"1B1B","Uncontrolled Combustion, and Burning Coal Dumps"
"1B1C","Solid Fuel Transformation"
"1B2","Oil and Natural Gas"
"1B2A","Oil"
"1B2AI","Venting"
"1B2AII","Flaring"
"1B2AIII","All Other"
"1B2AIII1","Exploration"
"1B2AIII2","Production and Upgrading"
"1B2AIII3","Transport"
"1B2AIII4","Refining"
"1B2AIII5","Distribution of Oil Products"
"1B2AIII6","Other"
"1B2B","Natural Gas"
"1B2BI","Venting"
"1B2BII","Flaring"
"1B2BIII","All Other"
"1B2BIII1","Exploration"
"1B2BIII2","Production"
"1B2BIII3","Processing"
"1B2BIII4","Transmission and Storage"
"1B2BIII5","Distribution"
"1B2BIII6","Other"
"1B3","Other Emissions from Energy Production"
"1C","Carbon Dioxide Transport and Storage"
"1C1","Transport of CO 2"
"1C1A","Pipelines"
"1C1B","Ships"
"1C1C","Other (please specify)"
"1C2","Injection and Storage"
"1C2A","Injection"
"1C2B","Storage"
"1C3","Other"
2,"INDUSTRIAL PROCESSES AND PRODUCT USE"
"2A","Mineral Industry"
"2A1","Cement Production"
"2A2","Lime Production"
"2A3","Glass Production"
"2A4","Other Process Uses of Carbonates"
"2A4A","Ceramics"
"2A4B","Other Uses of Soda Ash"
"2A4C","Non Metallurgical Magnesia Production"
"2A4D","Other (please specify)"
"2A5","Other (please specify)"
"2B","Chemical Industry"
"2B1","Ammonia Production"
"2B2","Nitric Acid Production"
"2B3","Adipic Acid Production"
"2B4","Caprolactam, Glyoxal and Glyoxylic Acid Production"
"2B5","Carbide Production"
"2B6","Titanium Dioxide Production"
"2B7","Soda Ash Production"
"2B8","Petrochemical and Carbon Black Production"
"2B8A","Methanol"
"2B8B","Ethylene"
"2B8C","Ethylene Dichloride and Vinyl Chloride Monomer"
"2B8D","Ethylene Oxide"
"2B8E","Acrylonitrile"
"2B8F","Carbon Black"
"2B9","Fluorochemical Production"
"2B9A","By-product Emissions"
"2B9B","Fugitive Emissions"
"2B10","Other (please specify)"
"2C","Metal Industry"
"2C1","Iron and Steel Production"
"2C2","Ferroalloys Production"
"2C3","Aluminium Production"
"2C4","Magnesium Production"
"2C5","Lead Production"
"2C6","Zinc Production"
"2C7","Other (please specify)"
"2D","Non-Energy Products from Fuels and Solvent Use"
"2D1","Lubricant Use"
"2D2","Paraffin Wax Use"
"2D3","Solvent Use"
"2D4","Other (please specify)"
"2E","Electronics Industry"
20,"Integrated Circuit or Semiconductor"
200,"TFT Flat Panel Display"
2000,"Photovoltaics"
20000,"Heat Transfer Fluid"
200000,"Other (please specify)"
"2F","Product Uses as Substitutes for Ozone Depleting Substances"
"2F1","Refrigeration and Air Conditioning"
"2F1A","Refrigeration and Stationary Air Conditioning"
"2F1B","Mobile Air Conditioning"
"2F2","Foam Blowing Agents"
"2F3","Fire Protection"
"2F4","Aerosols"
"2F5","Solvents"
"2F6","Other Applications (please specify)"
"2G","OTHER PRODUCT MANUFACTURE AND USE"
"2G1","Electrical Equipment"
"2G1A","Manufacture of Electrical Equipment"
"2G1B","Use of Electrical Equipment"
"2G1C","Disposal of Electrical Equipment"
"2G2","SF 6 and PFCs from Other Product Uses"
"2G2A","Military Applications"
"2G2B","Accelerators"
"2G2C","Other (please specify)"
"2G3","N 2 O from Product Uses"
"2G3A","Medical Applications"
"2G3B","Propellant for Pressure and Aerosol Products"
"2G3C","Other (please specify)"
"2G4","Other (please specify)"
"2H","Other"
"2H1","Pulp and Paper Industry"
"2H2","Food and Beverages Industry"
"2H3","Other (please specify)"
3,
"3A","Livestock"
"3A1","Enteric Fermentation"
"3A1A","Cattle"
"3A1AI","Dairy Cows"
"3A1AII","Other Cattle"
"3A1B","Buffalo"
"3A1C","Sheep"
"3A1D","Goats"
"3A1E","Camels"
"3A1F","Horses"
"3A1G","Mules and Asses"
"3A1H","Swine"
"3A1J","Other (please specify)"
"3A2","Manure Management"
"3A2A","Cattle"
"3A2AI","Dairy Cows"
"3A2AII","Other Cattle"
"3A2B","Buffalo"
"3A2C","Sheep"
"3A2D","Goats"
"3A2E","Camels"
"3A2F","Horses"
"3A2G","Mules and Asses"
"3A2H","Swine"
"3A2I","Poultry"
"3A2J","Other (please specify)"
"3B","Land"
"3B1","Forest Land"
"3B1A","Forest land Remaining Forest Land"
"3B1B","Land Converted to Forest Land"
"3B1BI","Cropland Converted to Forest Land"
"3B1BII","Grassland Converted to Forest Land"
"3B1BIII","Wetlands Converted to Forest Land"
"3B1BIV","Settlements Converted to Forest Land"
"3B1BV","Other Land Converted to Forest Land"
"3B2","Cropland"
"3B2A","Cropland Remaining Cropland"
"3B2B","Land Converted to Cropland"
"3B2BI","Forest Land Converted to Cropland"
"3B2BII","Grassland Converted to Cropland"
"3B2BIII","Wetlands Converted to Cropland"
"3B2BIV","Settlements Converted to Cropland"
"3B2BV","Other Land Converted to Cropland"
"3B3","Grassland"
"3B3A","Grassland Remaining Grassland"
"3B3B","Land Converted to Grassland"
"3B3BI","Forest Land Converted to Grassland"
"3B3BII","Cropland Converted to Grassland"
"3B3BIII","Wetlands Converted to Grassland"
"3B3BIV","Settlements Converted to Grassland"
"3B3BV","Other Land Converted to Grassland"
"3B4","Wetlands"
"3B4A","Wetlands Remaining Wetlands"
"3B4AI","Peatlands Remaining peatlands"
"3B4AII","Flooded Land Remaining Flooded Land"
"3B4B","Land Converted to Wetlands"
"3B4BI","Land Converted for Peat Extraction"
"3B4BII","Land Converted to Flooded Land"
"3B4BIII","Land Converted to Other Wetlands"
"3B5","Settlements"
"3B5A","Settlements Remaining Settlements"
"3B5B","Land Converted to Settlements"
"3B5BI","Forest Land Converted to Settlements"
"3B5BII","Cropland Converted to Settlements"
"3B5BIII","Grassland Converted to Settlements"
"3B5BIV","Wetlands Converted to Settlements"
"3B5BV","Other Land Converted to Settlements"
"3B6","Other Land"
"3B6A","Other Land Remaining Other Land"
"3B6B","Land Converted to Other Land"
"3B6BI","Forest Land Converted to Other Land"
"3B6BII","Cropland Converted to Other Land"
"3B6BIII","Grassland Converted to Other Land"
"3B6BIV","Wetlands Converted to Other Land"
"3B6BV","Settlements Converted to Other Land"
"3C","Aggregate Sources and Non-CO 2 Emissions Sources on Land"
"3C1","Emissions from Biomass Burning"
"3C1A","Biomass Burning in Forest Lands"
"3C1B","Biomass Burning in Croplands"
"3C1C","Biomass Burning in Grasslands"
"3C1D","Biomass Burning in All Other Land"
"3C2","Liming"
"3C3","Urea Application"
"3C4","Direct N 2 O Emissions from Managed Soils"
"3C5","Indirect N 2 O Emissions from Managed Soils"
"3C6","Indirect N 2 O Emissions from Manure Management"
"3C7","Rice Cultivations"
"3C8","Other (please specify)"
"3D","Other"
"3D1","Harvested Wood Products"
"3D2","Other (please specify)"
4,"WASTE"
"4A","Solid Waste Disposal"
"4A1","Managed Waste Disposal Sites"
"4A2","Unmanaged Waste Disposal Sites"
"4A3","Uncategorised Waste Disposal Sites"
"4B","Biological Treatment of Solid Waste"
"4C","Incineration and Open Burning of Waste"
"4C1","Waste Incineration"
"4C2","Open Burning of Waste"
"4D","Wastewater Treatment and Discharge"
"4D1","Domestic Wastewater Treatment and Discharge"
"4D2","Industrial Wastewater Treatment and Discharge"
"4E","Other (please specify)"
5,
"5A","Indirect N 2 O Emissions from the Atmospheric Deposition of Nitrogen in NO x and NH 3"
"5B","Other (please specify)"
